mes,Localidad,Descripcion de estos,Asesorías jurídicas en materia de regularización de tenencia de la tierra,Asesorias juridicas en materia civil-familiar,Juicios de obras públicas en curso,Canalizaciones en materia de Juicios de Pension Alimenticia,Correcciones de actas ante el registro del estado de Hidalgo.,"Convenios, contratos o acuerdos revisados y formalizados con la ciudadania",Apoyo en Audiencias de Juzgado Conciliador,Apoyo a Visitaduria Agraria,Catastro en Deslindes y/o Rectificacion de Medidas,Actas informativas realizadas para el Registro civil,Revicion de documentos para inscripcion al Padron,Revision de documentos para Traslados de Dominio,Revision de Documentos para Avaluos,Deslindes realizados por el àrea,,,,MES,Asesoria juridicas por area,Total de Asesorias,actividad,,Mes,Nombre del proveedor,Total de contratos,actividad,,Mes,Tema de la recomendación,Estatus,actividad
FEBRERO,CARRIZAL DE TENANGO,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,CARRIZAL DEL SOTANO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL AMOLAR,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL BANCO,,3,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
FEBRERO,EL BARRIO,,8,3,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FEBRERO,EL CAMPANARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL CAPULÍN,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
FEBRERO,EL COYOL,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL HUALUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL LIMONCITO,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL OCOTE,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL PESCADO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL SABINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL SOTANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,EL ZACATAL,,10,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,HUATEPANGO,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,IGLESIA VIEJA,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA CEIBA,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA CEIBITA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA ESCONDIDA,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA ESTANCIA,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA GUAYABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA HONDURA,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA JOYA DEL ZOPILOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA LOMA,,15,5,,,1,,,,,1,,3,,,,,,,,,,,,,,,,,,,
FEBRERO,LA LOMITA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA MESA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA PIEDRA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LA SIERRITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LAS ANTENAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LAS CAMPANAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LAS CIRUELAS,,3,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
FEBRERO,LAS GOLONDRINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LAS MINAS,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
FEBRERO,LOS NARANJOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,MIAHUATLA,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,NEBLINAS,,10,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,NUEVO COYOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,OJO DE AGUA BO. ABAJO,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,OJO DE AGUA BO. ARRIBA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PALO SEMITA,,4,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,
FEBRERO,PALO VERDE,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PALOMAS,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PARED GRUESA,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PIEDRA ANCHA,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PLAN DE GUADALUPE,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PUERTO DEL AMOLAR,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PUERTO DEL CABALLO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PUERTO DEL GALLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PUERTO DEL TAMBOR,contrato de donacion,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,PUERTO OBSCURO,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,RANCHO NUEVO,,3,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,RANCHO NUEVO PUERTO DEL GALLO,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,REFORMA DE PALO SEMITA,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FEBRERO,SAN RAFAEL,,12,1,,,3,,,2,,,1,,,,,,,,,,,,,,,,,,,,
FEBRERO,SANTA ANA DE ALLENDE,contrato de compraventa,18,8,,2,1,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,
FEBRERO,SANTA MARÍA DE ÁLAMOS,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
